Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"B1","RV1 Bypass","J_0805_2012Metric",123.174000,-93.905000,270.000000,bottom
"B2","RV2 Bypass","J_0805_2012Metric",158.390000,-93.895000,270.000000,bottom
"C1","10uF","C_1206_3216Metric",134.038000,-104.041000,270.000000,bottom
"C2","33nF","C_0805_2012Metric",136.797000,-101.134000,90.000000,bottom
"C3","100nF","C_0805_2012Metric",144.797000,-101.134000,90.000000,bottom
"C4","10uF","C_1206_3216Metric",147.500000,-104.041000,270.000000,bottom
"C5","330pF","C_0805_2012Metric",130.390000,-98.585000,90.000000,bottom
"C6","68pF","C_0805_2012Metric",133.213000,-93.895000,90.000000,bottom
"D1","1N4148","D_SOD-323F",155.289500,-101.720000,180.000000,bottom
"L1","10uH","L_1206_3216Metric",149.956000,-98.585000,180.000000,bottom
"Q1","BC847B","SOT-23",126.767000,-98.585000,90.000000,bottom
"Q2","BC847B","SOT-23",154.797000,-98.585000,90.000000,bottom
"R1","1K","R_0805_2012Metric",133.213000,-98.585000,90.000000,bottom
"R2","3K3","R_0805_2012Metric",123.174000,-98.585000,90.000000,bottom
"R3","5K6","R_0805_2012Metric",120.381000,-98.585000,270.000000,bottom
"R4","68","R_0805_2012Metric",130.390000,-93.915000,270.000000,bottom
"R5","220","R_0805_2012Metric",120.381000,-93.915000,90.000000,bottom
"R6","470","R_0805_2012Metric",151.134000,-106.428500,90.000000,bottom
"R7","1K","R_0805_2012Metric",162.310000,-106.428500,90.000000,bottom
"R8","150","R_0805_2012Metric",148.381000,-93.895000,270.000000,bottom
"R9","150","R_0805_2012Metric",145.587000,-93.895000,90.000000,bottom
"R10","75","R_0805_2012Metric",161.183000,-93.895000,270.000000,bottom
"R11","150","R_0805_2012Metric",151.174000,-93.895000,90.000000,bottom
"U1","78L05","SOT-89-3",140.847000,-100.434000,90.000000,bottom
